sWeaponTypeTwoHandRifleEnergy	Energy Rifle
sRSMToneOption04	Circle Light/Dark
sRSMToneOption05	Goatee Light/Dark
sSkillIncreased	skill increased
sMagicCostliestEffectSkillOf	 Skill of 
sKBLBracket	[
sRadiationNotSick	You no longer have radiation sickness
sSneakAttackCriticalStrike	Sneak Attack Critical on
sCriticalStrike	Critical Strike on
sRSMToneOption06	Moustache
sMouthLips	Mouth(Lips)
sMagicEffectItemRestore	Restore
sRSMToneOption07	Blush Light/Red
sGeneralSkin	General(Skin)
sNoviceSkillLevelText	You have a basic understanding of this skill.
sRSMToneOption08	Bruised/Bright
sTargetTypeOpen	Open
sPS3RThumbLeft	the Right Stick Left
sUActnRdyitem	Ready/Reload
sRSMToneOption09	Dark/Light
sContainerItemsTitle	Inventory
sTransact	Transact
sMissingName	<Missing Name>
sUnequipItemOnPlayer	was unequipped
sIncrease	Increase
sVatsAimed	Aimed
sEmpty	[EMPTY]
sPCControlsTextPrefix	push
sRumble	Vibration
sSkillDecreased	skill decreased
sKarmicTitleNeutral01	Vault Dweller
sPressControl	Press the new control for this action
sKarmicTitleNeutral02	Vault Renegade
sEyeshadow	Eyeshadow light/dark
sKarmicTitleNeutral03	Seeker
sRSMEyelids	Eyelids
sScrollEquipped	 equipped.
sTerminalServerText1	-Server 1-
sKarmicTitleNeutral04	Wanderer
sTargetTypeSit	Sit
sKBMute	Mute
sNasolabiallines	Naso labial lines light/dark
sLevelUpSkillCounter	ASSIGN 1 SKILL POINT
sTerminalServerText2	-Server 2-
sKarmicTitleNeutral05	Citizen
sJoyDownLeft	Dn-Left
sMagicTypePoison	Poison
sTerminalServerText3	-Server 3-
sKarmicTitleNeutral06	Adventurer
sActivationChoiceMessage	What would you like to do?
sMiscUnknownEffect	(Unknown Effect)
sSaveFailed	Save failed.
sNotEnoughRoomWarning	You do not have enough room to drop this object.
sRepairAllItems	Repair All (%d)
sTerminalServerText4	-Server 4-
sKarmicTitleNeutral07	Vagabond of the Wastes
sMagicCastOKText	
sTerminalServerText5	-Server 5-
sKarmicTitleNeutral08	Mercenary
sRetryText	Retry
sWeaponTypeTwoHandAutomatic	Automatic
sCantHotkeyBrokenItem	You cannot hotkey broken items.
sRagdollDataDefault	RagdollConstraint\Default.rdt
sTerminalServerText6	-Server 6-
sKarmicTitleNeutral09	Urban Ranger
sObjectLODFade	Object LOD Fade
sNosebridgeshort	Nose bridge short/long
sSexFemalePronoun	she
sTerminalServerText7	-Server 7-
sActionPointsDrop	Drop
sKBRBracket	]
sSaveGameCorrupt	Corrupt
sTerminalServerText8	-Server 8-
sRightArmDamagedIcon	TypeIcons\hot_keys_icon_unarmedweapons.dds
sPS3Square	\general_button_x.dds\
sMouthdrawn	Mouth drawn/pursed
sBuy	BUY
sTerminalServerText9	-Server 9-
sMustRestart	You must exit and restart Fallout 3 for changes in this setting to take effect.
sSexFemale	female
sHolidayEmperorsBirthday	Emperor's Birthday
sActionPointsHeal	Heal
sDeviceGamepad	Xbox 360 Controller
sNoMoreFollowers	You have too many followers.
sMiscConstantEffect	Constant Effect
sDeleteSaveGame	Are you sure you want to delete this save game?
sDropQuestItemWarning	You cannot remove Quest Items from your Inventory.
sImageNote	Image File
sLevelUp	LEVEL UP
sComputersAddedNote	Note Added: %s
sBald	Bald
sNoEatQuestItem	You can not eat quest items.
sRepairSkillTooLow	%d%s REPAIR SKILL NEEDED
sNoseshort	Nose short/long
sMouth	Mouth
sQuantity	Quantity
sBloodParticleDefault	Effects\ImpactBallisticBlood01.NIF
sMagicEffectItemCreateLock	Create
sHolidayOldLifeFestival	Old Life Festival
sLockLevelNameVeryEasy	Very Easy
sKBVolumeUp	Vol +
sLoading	Loading...
sLevelUpPerkCounterPl	CHOOSE %d PERKS
sKBHome	Home
sServeTimeQuestion	Do you just want to serve your time?
sJournalTitleCompleted	Completed Quests
sTravelQuestion	Do you want to travel to
sMissingImage	Data\Textures\Interface\Shared\missing_image.dds
sOff	OFF
sTargetRange	Target
sRSMToneOption10	Thick/Thin
sPS3Triangle	\general_button_y.dds\
sStartNewGame	Start new game?
sNoSleepTrespass	You cannot sleep while trespassing.
sRSMToneOption11	Very Thin/Thick
sXBLThumbDown	the Left Stick Down
sHowMany	How many?
sRSMToneOption12	Light/Dark (Lower)
sNose	Nose
sCurrentObjective	CURRENT OBJECTIVE
sYour	Your
sPCMenuHintA	A)
sDeviceRemoved	The save device you selected is no longer available.  You will need to select a new device the next time you save.  Until then, Autosave is disabled.
sRSMToneOption13	Light/Dark (Outer)
sNoseselliondown	Nose sellion down/up
sNoText	No
sRSMToneOption14	Dark/Light (Upper)
sNoRestart	No, keep playing.
sOutOfLockpicks	You are out of lockpicks.
sRSMToneOption15	Pale/Red
sInventoryWeapons	Weapons
sMagicCostliestEffectRequires	Requires 
sHolidayMidYearCelebration	Mid Year Celebration
sAlignNeutral	Neutral
sRSMToneOption16	Eyeliner Lt./Dark
sAlreadyPlacedMine	An active mine has already been placed on this enemy.
sPCMenuHintE	E)
sRSMToneOption17	Shadow Light/Dark
sActivateNPCCalmed	is calmed and cannot respond.
sMagicEffectItemOn	on
sPCMenuHintF	F)
sPCControlsTriggerPrefix	pull
sMenuDisplayAutosaveName	Autosave
sRSMToneOption18	Dk Brown/Lt Blue
sInventoryValue	VAL
sHigh	High
sRSMToneOption19	Whites Dim/Bright
sKBSysRq	PrntScrn
sDifficulty	Difficulty
sHotKeyString	Hot Key
sDownloadsAvailable	New Content Available
sKarmicTitleNeutral10	Observer
sXBBBtn	\general_button_b.dds\
sKarmicTitleNeutral11	Capitol Councilor
sKBWebRefresh	Refresh
sKBColon	:
sUActnForward	Forward
sDropEquippedItemWarning	You cannot drop an equipped item until you complete your current action.
sNosedown	Nose down/up
sLocalMapTabText	Local Map
sKarmicTitleNeutral12	Keeper
sEssentialCharacterDown	is unconscious.
sAmber	AMBER
sInventoryWeight	Wg
sSortMethod	Sort
sHolidaySecondPlanting	Second Planting
sKarmicTitleNeutral13	Vault Descendant
sJoyDownRight	Dn-Rt
sKBUp	Up
sVatsBodyPart	Body Part
sDefaultPlayerName	Player Name
sRSMConfirmDone	Are you sure you want this to be your
sImpactParticleWoodDefault	Effects\ImpactBallisticWood01.nif
sKarmicTitleNeutral14	Pinnacle of Survival
sKBEquals	=
sNumberAbbrev	No.
sKarmicTitleNeutral15	Urban Myth
sKarmicTitleNeutral16	Strider of the Wastes
sTravel	Travel
sKarmicTitleNeutral17	Beholder
sKarmicTitleNeutral18	Wasteland Watcher
sPCMenuHintR	R)
sNosenostriltilt	Nose nostril tilt down/up
sJaw	Jaw
sKarmicTitleNeutral19	Super-Human
sPCMenuHintS	S)
sSuccessfulSneakAttackMain	Sneak attack for 
sPleaseStandBy	PLEASE STAND BY
sTraitsTitle	OPTIONAL TRAITS:  %d/%d Selected
sDeviceMouse	Mouse
sRed	Red
sAge	Age
sAttributesTitle	ATTRIBUTES: %d/%d Points Assigned
sMagicSchoolMysticism	Mysticism
sDayThursday	Thursday
sTeammateOverencumbered	can't carry any more.
sPCMenuHintW	W)
sLipsflushed	Lips flushed/pale
sMouthChin	Mouth-Chin distance short/long
sEyesdown	Eyes down/up
sPCMenuHintX	X)
sBloodParticleMeleeDefault	Effects\ImpactMeleeBloodSpray01.nif
sFloraFailureMessage	You find nothing of use.
sHolidayJestersDay	Jester's Day
sKBPrior	PgUp
sAutoAttempt	Auto Attempt
sKarmaMajorLost	You've lost Karma!
sHackingDudRemoved	Dud removed.
sNoPickPocketAgain	has already caught you.
sWeaponBreak	Your weapon has broken.
sSwitchLimbs	Switch Limbs
sColor	Hair Color
sMagicRangeTouch	Touch
sMagicEffectItemAbsorb	Absorb
sMonthFebruary	February
sRightArmDamagedMessage	Your right arm is now crippled.
sMenuDisplayUnknownLocationString	Unknown Location
sMenuDisplayNoSaves	No saved games.
sControls	Controls
sRSMRedAbbrev	R:
sBeardgoatee	Beard goatee light/dark
sPlaceMarker	Place Marker
sDismemberParticleDefault	Gore\BloodSprayLimb01.nif
sCrimeTypePickpocket	Pickpocket
sCloseButton	Close
sEyebrowsdark	Eyebrows dark/light
sMapMarkerNotFound	You have not found this location yet.
sUActnTogglerun	Always Run
sRSMToneOption20	Dark Red/Lt. Blue
sRandom	Random
sMagicRangeSelf	Self
sChestDamagedIcon	Interface\Icons\Message Icons\glow_message_vaultboy_very_happy.dds
sStatsCrippled	CRIPPLED
sRSMToneOption21	Dark Blue/Lt. Red
sMagicSchoolIllusion	Illusion
sWeaponTypeTwoHandLauncher	Launcher
sKBWake	Wake
sXSensitivity	X-Sensitivity
sHUDOpacity	HUD Opacity
sNoWaitInAir	You cannot wait in the air.
sRSMToneOption22	Naso Labial Lines
sPS3LThumbDown	the Left Stick Down
sRSMToneOption23	Nares Small/Large
sDayFriday	Friday
sControllerOption	Turn off 360 Controller in the Controls section of the Settings menu to switch back to Keyboard/Mouse.
sGrassFade	Grass Fade
sRSMToneOption24	Shade
sConfirmChoice1	Are you sure you want to be a
sRSMToneOption25	Blue Tint
sEyelidslight	Eyelids light/dark
sConfirmChoice2	Are you sure you want to be an
sExit	Exit
sRSMToneOption26	Yellow Tint
sGold	gold
sCancel	Cancel
sMagicSchoolRestoration	Restoration
sMiscStat000	Quests Completed
sXBUnboundBtn	<NOT BOUND>
sNoWaitHostilActorsNear	You cannot wait when enemies are nearby.
sFacebrow	Face brow/nose/chin ratio
sMiscStat001	Locations Discovered
sAnimationCanNotEquipWeapon	You cannot change weapons while attacking.
sPMTime	PM
sSpecNameMagic	Magic
sMiscStat002	People Killed
sVATSMessageZeroChance	You have zero chance to hit.
sEyeliner	Eyeliner
sHackingDenied	Entry denied
sYes	Yes
sMiscStat003	Creatures Killed
sXBLThumbRight	the Left Stick Right
sJoyDown	Down
sFindingContentMessage	Looking for content.  Please wait.
sMiscStat004	Locks Picked
sLockLevelNameAverage	Average
sEffectAlreadyAdded	Effect has already been added.  Edit the effect instead.
sEyebrowsvery	Eyebrows very thin/thick
sSkillIncreasedNum	%s increased by %d
sMiscStat005	Computers Hacked
sKarmicTitleNeutral20	Paradigm of Humanity
sNoseregion	Nose region concave/convex
sInventoryHotKey	Hot Key
sKarmaMinorLost	You've lost Karma!
sMiscStat006	Stimpaks Taken
sActionPointsShoot	Shot
sTouchRange	Strike
sPoisonBowConfirmMessage	Do you want to poison your next shot with the 
sExplosive	EXPLOSIVE
sHolidayWitchesFestival	Witches' Festival
sMiscStat007	Rad-X Taken
sNoWaitTakingHealthDamage	You cannot wait while taking health damage.
sMiscStat008	RadAway Taken
sDeviceKeyboard	Keyboard
sMiscStat009	Chems Taken
sMagicTypeDisease	Disease
sDecrease	Decrease
sMedium	Medium
sMonthAugust	August
sUActnVats	VATS
sKeyring	Keyring
sPauseText	Pause
sBeardcheeks	Beard cheeks light/dark
sSaveGameNoMasterFilesFound	None of the master files used in this save game are loaded.  Returning to game.
sCheeksround	Cheeks round/gaunt
sBeardlight	Beard light/dark
sSeasonWinter	Winter
sJournalTitleCurrent	Current Quests
sDownloadsNotAvail	View Downloadable Content
sPS3Ecks	\general_button_a.dds\
sRace	Race
sNoRace	NO RACE
sCantEquipBrokenItem	Broken items cannot be equipped until they have been repaired.
sSpecularityFade	Specularity Fade
sRanksText	Ranks
sImpactParticleConcreteDefault	Effects\ImpactBallisticConcrete01.nif
sRandomDoorTeleportFailureMessage	This door leads nowhere.
sChestDamagedMessage	Your chest is now damaged.
sNoFastTravelOverencumbered	You cannot fast travel while overencumbered.
sChinshallow	Chin shallow/deep
sPS3R1	\general_button_rb.dds\
sLeftLegDamagedByPlayerIcon	Interface\Icons\Message Icons\glow_message_vaultboy_very_happy.dds
sPS3R2	\general_button_rt.dds\
sKBUnderline	_
sWhite	WHITE
sPS3R3	\general_button_rs.dds\
sCrimeTypeAttack	Attack
sXBDPadUp	D-Pad Up
sVampireFeed	Feed
sNoSpareParts	NO USABLE SPARE PARTS
sComputersLogon	LOGON ADMIN
sObjectFade	Object Fade
sKBSlash	/
sChangeItemSelection	Change Item Selection
sKBSubtract	Pad -
sHairColor10	Gold
sHolidayNewLifeFestival	New Life Festival
sPCControlsTextNone	<NOT BOUND>
sSaveGameNoLongerAvailable	The save game is no longer available.  Returning to game.
sHairColor11	Rosewood
sTargetTypeApply	Apply
sHairColor12	Black
sQuestAddedText	Quest added
sMagicSchoolDestruction	Destruction
sHairColor13	Chestnut
sMonthOctober	October
sPS3DPadUp	D-Pad Up
sKBEnd	End
sHairColor14	Steel
sEyebrowsthick	Eyebrows thick/thin
sMonthSeptember	September
sUActnTogglepov	Change View
sUActnActivate	Activate
sHairColor15	Champagne
sKBNumlock	Num
sConfirmDelete	Delete this game?
sDisplay	Display
sSelectItemToRepair	CHOOSE ITEM TO REPAIR WITH
sHolidayHarvestsEnd	Harvest's End
sMiscStat010	Times Addicted
sMiscPlayerDeadMenuOption	Main Menu
sLevelUpTitleText	WELCOME TO LEVEL %d
sHackingAccessing1	Please wait
sMiscStat011	Mines Disarmed
sPS3UnboundBtn	<NOT BOUND>
sHackingAccessing2	while system
sMiscStat012	Speech Successes
sContinueText	Continue Running Executable?
sUActnSldright	Strafe Right
sNewGame	New Game
sNoSleepInRadiation	You cannot sleep while being irradiated.
sInventoryWeightUpper	WG
sHackingAccessing3	is accessed.
sMiscStat013	Pockets Picked
sPicksRemainingText	Bobby Pins
sMiscStat014	Pants Exploded
sKBWebHome	Web
sStartANewGame	Start a New Game?
sLocked	Locked
sShadowFade	Shadow Fade
sMasterVolume	Master
sRSMCustomize	Customize
sMiscStat015	Books Read
sActionPointsPunch	Punch
sSearch	Search
sVATSMessageLowAP	Low
sBeardcircle	Beard circle light/dark
sMiscStat016	Bobbleheads Found
sMenuDisplayLevelString	Level
sLevelUpPerkCounter	CHOOSE 1 PERK
sMonthJanuary	January
sMiscStat017	Weapons Created
sMagicProjectileTypeBall	Ball
sMiscStat018	People Mezzed
sActionMapping	Action Mapping
sCantChangeResolution	You must close your current game to change resolutions.
sMiscStat019	Captives Rescued
sJoyRight	Right
sRSMShapeOption01	High/Low
sYSensitivity	Y-Sensitivity
sRSMShapeOption02	Up/Down (inner)
sNoSaves	[NO SAVES FOUND]
sRSMShapeOption03	Up/Down (outer)
sRSMShapeOption04	Low/High
sReset	Reset
sMenuDisplayNewSave	New Save
sStatsLimbs	Limbs
sRSMShapeOption05	Shallow/Pronounced
sMoveMarkerQuestion	Do you want to move your marker or remove it?
sRSMShapeOption06	Thin/Wide
sRSMShapeOption07	Concave/Convex
sRSMShapeOption08	Round/Gaunt
sGeneralFace	General(Face)
sNormalWeaponsResisted	Your attack has no effect.
sMagicEffectItemFeet	ft
sRSMShapeOption09	Forward/Backward
sEyebrowsouter	Eyebrows outer light/dark
sCommsTabText	Radio
sActionPointsSwitchWeapon	Switch Weapon
sHackingLockout1	Lockout in
sDefaultMessage	DEFAULT MESSAGE TEXT
sCantRemoveWornItem	Unable to remove the worn item.
sHackingLockout2	progress.
sUActnBlock	Block
sHackingLockout3	TERMINAL LOCKED
sSaveGameContentIsMissing	This save relies on content that is no longer present. Some objects may no longer be available. Continue Loading?
sHackingLockout4	PLEASE CONTACT AN ADMINISTRATOR
sDismemberRobotParticleDefault	Gore\RobotLimbSpray01.nif
sMagicCastInsufficientSkill	Your Skill level is too low
sRSMHair	Hair
sShowActiveNotes	Show Active Quest Notes
sPS3RThumbUp	the Right Stick Up
sAudioNote	Audio File
sMagicProjectileTypeBolt	Bolt
sMagicTypeSpell	Actor Effect
sCrew	Crew
sNew	New
sPrevious	Previous
sSmall	Small
sWeaponTypeOneHandMelee	Melee - One Hand
sStats	STATS
sMagicProjectileTypeFog	Fog
sHolidaySunsRest	Sun's Rest
sSaveOverSaveGame	Are you sure you want to overwrite this save game?
sCantUnequipGeneric	You cannot unequip this item.
sHUDQuestCompleted	COMPLETED: 
sQuestFailed	Quest FAILED
sMagicTypeAbility	Ability
sXBYBtn	\general_button_y.dds\
sCrosshair	Crosshair
sKBMediaSelect	Select
sMouthlipspuckered	Mouth lips puckered/retracted
sJournalTitleCompletedDetails	Completed Quest Detail
sWeaponTypeOneHandGrenade	Grenade
sXBDPadLeft	D-Pad Left
sPS3DPadDown	D-Pad Down
sKBWebFavorites	Fav
sMedicineSkill	Med skill
sItemFade	Item Fade
sLips	Lips
sBack	Back
sMiscStat020	Sandman Kills
sRepairCost	Cost: %d caps
sNoseTex	Nose shades
sMiscStat021	Paralyzing Punches
sAttributeDrained	is being drained
sAreaText	Area
sMiscStat022	Robots Disabled
sBrowRidge	Brow Ridge high/low
sNoSleepInOwnedBed	You cannot sleep in an owned bed.
sMiscStat023	Contracts Completed
sNoCharge	The item does not have enough charge.
sPoisonConfirmMessage	Do you want to poison the 
sMagicSchoolConjuration	Conjuration
sMiscStat024	Corpses Eaten
sMiscStat025	Mysterious Stranger Visits
sForeheadtilt	Forehead tilt forward/back
sTargetTypeEat	Eat
sXBRBumper	\general_button_rb.dds\
sNoFastTravelInAir	You can't fast travel while jumping or falling.
sRestartToUseNewContent	New content has been added.  You will need to restart to use this content.  All unsaved progress will be lost.
sFaceround	Face round/gaunt
sLeftArmDamagedByPlayerIcon	Interface\Icons\Message Icons\glow_message_vaultboy_very_happy.dds
sUActnSldleft	Strafe Left
sNosesellionshallow	Nose sellion shallow/deep
sKBABNTC1	/
sTreeLODFade	Tree LOD Fade
sDialogSubtitles	Dialog Subtitles
sLoad	Load
sRSMShapeOption10	Broad/Recessed
sMouthhappy	Mouth happy/sad
sKBABNTC2	Pad .
sNoRepairInCombat	You cannot repair items while in combat.
sRSMShapeOption11	Retracted/Jutting
sLength	Length
sDiscoveredText	You have discovered
sDevice	Device
sRepairServicesTitle	Repair Services
sRSMShapeOption12	Shallow/Deep
sPickpocketFail	You've been caught pickpocketing.
sXBLBumper	\general_button_lb.dds\
sQuickLoading	Quickloading...
sRSMShapeOption13	Small/Large
sRightLegDamagedIcon	TypeIcons\hot_keys_icon_unarmedweapons.dds
sRSMShapeOption14	Tall/Short
sActionPointsAttack	Attack
sRSMShapeOption15	Wide/Thin
sNext	Next
sDayWednesday	Wednesday
sRSMShapeOption16	Down/Up
sQuestCompletedText	Quest completed
sRestartSignedOut	You have signed out of your profile and will now be returned to the main menu.
sLoadWhilePlaying	Are you sure you want to load this game?  All unsaved progress will be lost.
sChoose	Choose
sLockpickSkillText	Lockpick Skill
sRSMShapeOption18	Tilt in/out
sTone	Tone
sMagicRangeTarget	Target
sCorruptContentMessage	Some of your downloaded content is corrupt and could not be loaded.
sRSMShapeOption19	Together/Apart
sEntryInstructions1	Enter a name for the
sInventoryName	NAME
sEntryInstructions2	you are trying to create.
sKBSpace	Spc
sEffectsVolume	Effects
sRSMGeneral	General
sLeaveMarker	Leave It
sShowAllNotes	Show All Notes
sMagicSchool	Magic School
sChestDamagedByPlayerIcon	Interface\Icons\Message Icons\glow_message_vaultboy_very_happy.dds
sKBRight	Right
sAutoSaving	Autosaving...
sNosenostrilssmall	Nose nostrils small/large
sNotesTabText	Notes
sSave	Save
sCantHotkeyItem	You cannot hotkey that item.
sRepair	REPAIR
sNoseflat	Nose flat/pointed
sInventoryAid	Aid
sAddItemtoSpellList	added
sFor	for
sSeasonSpring	Spring
sKBApostrophe	'
sNoChildUse	Children cannot use that.
sSuccessfulSneakAttackEnd	X damage!
sSkillsCount	Tag %d Skill
sKBNumPadEnter	Pad Enter
sGotAwayWithStealing	got away with stealing
sRaceDescription	Race Description
sNoProfileSelected	You have not signed in to a Gamer Profile.  You will need to sign in to a Gamer Profile and then select a storage device before you can save.  Until then, Autosave is disabled.
sCanNotEquipWornEnchantment	You cannot equip this item right now.
sMouthprotruding	Mouth protruding/retracted
sLipstickdarkred	Lipstick dark red/light blue
sCheeks	Cheeks
sUActnBack	Back
sPlayerLeavingBorderRegion	You cannot proceed in that direction. Please turn back.
sSpace	 
sChemsAddicted	You have become addicted to %s.
sNoWaitInCell	You cannot wait in this location.
sStopAudio	Stop Audio
sPartCrippledByPlayerMessage	Crippled
sKBTilde	~
sGameplay	Gameplay
sMagicEffectItemPointsSingular	pt
sKBMinus	-
sNewSave	[NEW SAVE]
sMouseMiddleButton	Wheel
sMouseSensitivity	Mouse Sensitivity
sJawNeck	Jaw-Neck slope high/low
sChinforward	Chin forward/backward
sMagicCastPowerUsed	You can only cast Powers once per day
sTargetTypeBrew	Brew
sAbortText	Abort
sCriticalStrikeIcon	Interface\Icons\PipboyImages_small\Derived Statistics_small\glow_Critical_Chance.dds
sStatsSkills	Skills
sRSMCharacter	character
sInvalidPickpocket	You cannot place items in a container while pickpocketing.
sCanNotReadBook	You cannot read a book during combat!
sGeneralSubtitles	General Subtitles
sActionPointsShort	AP
sMagicCastSilenced	You are currently Silenced
sKBSemicolon	;
sHUDColor	HUD Color
sRSMHairStyle	Hair Style
sMouthunderbite	Mouth underbite/overbite
sJawretracted	Jaw retracted/jutting
sNPCModelFemale	Characters\_Male\Skeleton.NIF
sSpeechChallengeSuccess	[SUCCESS]
sSkillLevelExpert	Expert
sPS3DPadX	D-Pad Left/Right
sKBDown	Down
sNoFastTravelUndiscovered	You have not discovered this location yet.
sVATSMessageNoAmmo	You don't have enough ammo.
sRSMShapeOption20	Brow-Nose-Chin
sPS3DPadY	D-Pad Up/Down
sVideoChange	You must exit and restart Fallout 3 for the new resolution to take effect.
sQuit	Quit
sRSMShapeOption21	Forehead-Nose
sTargetTypeHorse	Ride
sRSMShapeOption22	Heavy/Light
sMagicTypeLesserPower	Lesser Power
sRepairSkill	Repair Skill
sBrainDamagedByPlayerIcon	Interface\Icons\Message Icons\glow_message_vaultboy_very_happy.dds
sMouseLeftButton	Mouse1
sSaveGameOutOfDiskSpace	The selected storage device does not have sufficient space available. Please select another storage device or delete some of your existing saved content.
sStatsXPMax	MAX
sHackingGranted	Exact match!
sSell	SELL
sMorphine	Med-X
sRepairItem	Repair
sRSMShapeOption27	Tilt Forward/Back
sNares	Nares small/large
